service_id,date,exception_type
102-Saturday-1-DEC16-0000010,20170211,1
102-Sunday-1-DEC16-0000001,20170115,1
102-Sunday-1-DEC16-0000001,20170122,1
102-Sunday-1-DEC16-0000001,20170129,1
102-Sunday-1-DEC16-0000001,20170205,1
102-Weekday-1-DEC16-1111100,20170111,1
102-Weekday-1-DEC16-1111100,20170112,1
102-Weekday-1-DEC16-1111100,20170113,1
102-Weekday-1-DEC16-1111100,20170116,1
102-Weekday-1-DEC16-1111100,20170117,1
102-Weekday-1-DEC16-1111100,20170118,1
102-Weekday-1-DEC16-1111100,20170119,1
102-Weekday-1-DEC16-1111100,20170120,1
102-Weekday-1-DEC16-1111100,20170123,1
102-Weekday-1-DEC16-1111100,20170124,1
102-Weekday-1-DEC16-1111100,20170125,1
102-Weekday-1-DEC16-1111100,20170126,1
102-Weekday-1-DEC16-1111100,20170127,1
102-Weekday-1-DEC16-1111100,20170130,1
102-Weekday-1-DEC16-1111100,20170131,1
102-Weekday-1-DEC16-1111100,20170201,1
102-Weekday-1-DEC16-1111100,20170202,1
102-Weekday-1-DEC16-1111100,20170203,1
102-Weekday-1-DEC16-1111100,20170206,1
102-Weekday-1-DEC16-1111100,20170207,1
102-Weekday-1-DEC16-1111100,20170208,1
102-Weekday-1-DEC16-1111100,20170209,1
102-Weekday-1-DEC16-1111100,20170210,1
103-Saturday-1-DEC16-0000010,20170114,1
103-Saturday-1-DEC16-0000010,20170121,1
103-Saturday-1-DEC16-0000010,20170128,1
103-Saturday-1-DEC16-0000010,20170204,1
103-Saturday-1-DEC16-0000010,20170211,1
103-Sunday-1-DEC16-0000001,20170115,1
103-Sunday-1-DEC16-0000001,20170122,1
103-Sunday-1-DEC16-0000001,20170129,1
103-Sunday-1-DEC16-0000001,20170205,1
103-Weekday-1-DEC16-1111100,20170111,1
103-Weekday-1-DEC16-1111100,20170112,1
103-Weekday-1-DEC16-1111100,20170113,1
103-Weekday-1-DEC16-1111100,20170116,1
103-Weekday-1-DEC16-1111100,20170117,1
103-Weekday-1-DEC16-1111100,20170118,1
103-Weekday-1-DEC16-1111100,20170119,1
103-Weekday-1-DEC16-1111100,20170120,1
103-Weekday-1-DEC16-1111100,20170123,1
103-Weekday-1-DEC16-1111100,20170124,1
103-Weekday-1-DEC16-1111100,20170125,1
103-Weekday-1-DEC16-1111100,20170126,1
103-Weekday-1-DEC16-1111100,20170127,1
103-Weekday-1-DEC16-1111100,20170130,1
103-Weekday-1-DEC16-1111100,20170131,1
103-Weekday-1-DEC16-1111100,20170201,1
103-Weekday-1-DEC16-1111100,20170202,1
103-Weekday-1-DEC16-1111100,20170203,1
103-Weekday-1-DEC16-1111100,20170206,1
103-Weekday-1-DEC16-1111100,20170207,1
103-Weekday-1-DEC16-1111100,20170208,1
103-Weekday-1-DEC16-1111100,20170209,1
103-Weekday-1-DEC16-1111100,20170210,1
104-Weekday-1-DEC16-1111100,20170111,1
104-Weekday-1-DEC16-1111100,20170112,1
104-Weekday-1-DEC16-1111100,20170113,1
104-Weekday-1-DEC16-1111100,20170116,1
104-Weekday-1-DEC16-1111100,20170117,1
104-Weekday-1-DEC16-1111100,20170118,1
104-Weekday-1-DEC16-1111100,20170119,1
104-Weekday-1-DEC16-1111100,20170120,1
104-Weekday-1-DEC16-1111100,20170123,1
104-Weekday-1-DEC16-1111100,20170124,1
104-Weekday-1-DEC16-1111100,20170125,1
104-Weekday-1-DEC16-1111100,20170126,1
104-Weekday-1-DEC16-1111100,20170127,1
104-Weekday-1-DEC16-1111100,20170130,1
104-Weekday-1-DEC16-1111100,20170131,1
104-Weekday-1-DEC16-1111100,20170201,1
104-Weekday-1-DEC16-1111100,20170202,1
104-Weekday-1-DEC16-1111100,20170203,1
104-Weekday-1-DEC16-1111100,20170206,1
104-Weekday-1-DEC16-1111100,20170207,1
104-Weekday-1-DEC16-1111100,20170208,1
104-Weekday-1-DEC16-1111100,20170209,1
104-Weekday-1-DEC16-1111100,20170210,1
105-Weekday-1-DEC16-1111100,20170111,1
105-Weekday-1-DEC16-1111100,20170112,1
105-Weekday-1-DEC16-1111100,20170113,1
105-Weekday-1-DEC16-1111100,20170116,1
105-Weekday-1-DEC16-1111100,20170117,1
105-Weekday-1-DEC16-1111100,20170118,1
105-Weekday-1-DEC16-1111100,20170119,1
105-Weekday-1-DEC16-1111100,20170120,1
105-Weekday-1-DEC16-1111100,20170123,1
105-Weekday-1-DEC16-1111100,20170124,1
105-Weekday-1-DEC16-1111100,20170125,1
105-Weekday-1-DEC16-1111100,20170126,1
105-Weekday-1-DEC16-1111100,20170127,1
105-Weekday-1-DEC16-1111100,20170130,1
105-Weekday-1-DEC16-1111100,20170131,1
105-Weekday-1-DEC16-1111100,20170201,1
105-Weekday-1-DEC16-1111100,20170202,1
105-Weekday-1-DEC16-1111100,20170203,1
105-Weekday-1-DEC16-1111100,20170206,1
105-Weekday-1-DEC16-1111100,20170207,1
105-Weekday-1-DEC16-1111100,20170208,1
105-Weekday-1-DEC16-1111100,20170209,1
105-Weekday-1-DEC16-1111100,20170210,1
106-Saturday-1-DEC16-0000010,20170114,1
106-Saturday-1-DEC16-0000010,20170121,1
106-Saturday-1-DEC16-0000010,20170128,1
106-Saturday-1-DEC16-0000010,20170204,1
106-Saturday-1-DEC16-0000010,20170211,1
106-Sunday-1-DEC16-0000001,20170115,1
106-Sunday-1-DEC16-0000001,20170122,1
106-Sunday-1-DEC16-0000001,20170129,1
106-Sunday-1-DEC16-0000001,20170205,1
106-Weekday-1-DEC16-1111100,20170111,1
106-Weekday-1-DEC16-1111100,20170112,1
106-Weekday-1-DEC16-1111100,20170113,1
106-Weekday-1-DEC16-1111100,20170116,1
